,,,,IUCN Red List version 2018-1: Table 7,,,
,,,,,,Last Updated: 05 July 2018,
Table 7: Species changing IUCN Red List Status (2017-2018),,,,,,,
Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available,,,,,,,
"that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red",,,,,,,
"List users interpret the changes between the Red List updates, a summary of species that have changed category between 2017 (IUCN Red List version",,,,,,,
2017-3) and 2018 (IUCN Red List version 2018-1) and the reasons for these changes is provided in the table below.,,,,,,,
IUCN Red List Categories:,"EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered [CR(PE) - Critically Endangered (Possibly Extinct),",,,,,,
"CR(PEW) - Critically Endangered (Possibly Extinct in the Wild)], EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT -",,,,,,,
"Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,,,
Reasons for change:,"G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e.,",,,,,,
"status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.); E - Previous listing",,,,,,,
was an Error.,,,,,,,
,,IUCN Red List,IUCN Red,,,,
,,,,Reason for,Red List,,
Microhyla perparva,Labang Forest Rice Frog,NT,LC,N,2018-1
Nannophryne corynetes,Abra Malaga Toad,VU,EN,G,2018-1
Noblella lynchi,,DD,EN,N,2018-1
Nyctixalus spinosus,Spiny Indonesian Treefrog,VU,LC,N,2018-1
Nymphargus griffithsi,Ecuador Cochran Frog,VU,LC,N,2018-1
Nymphargus mariae,Maria's Giant Glass Frog,EN,LC,N,2018-1
Nymphargus mixomaculatus,,DD,CR,N,2018-1
Nymphargus ocellatus,Spotted Cochran Frog,NT,DD,N,2018-1
Nymphargus posadae,,VU,LC,N,2018-1
Oreobates lehri,,LC,EN,N,2018-1
Oreobates lundbergi,,DD,EN,N,2018-1
Oreobates pereger,Ayacucho Andes Frog,CR,EN,N,2018-1
Oreobates saxatilis,Tarapoto Big-headed Frog,DD,LC,N,2018-1
Oreophryne anulata,Mindanao Cross Frog,VU,LC,N,2018-1
Oreophryne nana,Camiguin Cross Frog,DD,NT,N,2018-1
Osornophryne talipes,Cannatella's Plump Toad,EN,VU,N,2018-1
Pelophryne albotaeniata,White-striped Flathead Toad,EN,VU,N,2018-1
Philautus acutus,Raspy Bush Frog,VU,LC,N,2018-1
Philautus amoenus,Kamboranga Bush Frog,VU,LC,N,2018-1
Philautus bunitus,Green Bush Frog,VU,LC,N,2018-1
Philautus gunungensis,,VU,LC,N,2018-1
Philautus hosii,Borneo Bubble-nest Frog,NT,LC,N,2018-1
Philautus poecilius,,VU,LC,N,2018-1
Philautus saueri,Sauer’s Bush Frog,VU,LC,N,2018-1
Philautus similis,,EN,DD,N,2018-1
Philautus surrufus,Molted Tree Frog,EN,NT,N,2018-1
Philautus tectus,Obscure Bush Frog,VU,LC,N,2018-1
Philautus worcesteri,Smooth-skinned Tree Frog,VU,LC,N,2018-1
Phrynopus barthlenae,,VU,EN,N,2018-1
Phrynopus bracki,Brack's Andes Frog,EN,DD,N,2018-1
Phrynopus dagmarae,,CR,EN,N,2018-1
Phrynopus horstpauli,,VU,EN,N,2018-1
Phrynopus kauneorum,,CR,EN,N,2018-1
Phrynopus tautzorum,,CR,DD,N,2018-1
Phrynopus tribulosus,,DD,LC,N,2018-1
Platymantis cagayanensis,,EN,NT,N,2018-1
Platymantis cornutus,,VU,LC,N,2018-1
Platymantis diesmosi,,DD,EN,N,2018-1
Platymantis guentheri,Gunther's Wrinkled Ground Frog,VU,LC,N,2018-1
Platymantis hazelae,Hazel's Wrinkled Ground Frog,EN,VU,N,2018-1
Platymantis isarog,,VU,LC,N,2018-1
Platymantis mimulus,,NT,LC,N,2018-1
Platymantis paengi,Panay Limestone Frog,DD,EN,N,2018-1
Platymantis polillensis,Polillo Wrinkled Ground Frog,EN,LC,N,2018-1
Platymantis rabori,Rabori's Forest Frog,VU,LC,N,2018-1
Platymantis taylori,,EN,VU,N,2018-1
Pristimantis albertus,,DD,VU,N,2018-1
Pristimantis aniptopalmatus,,DD,LC,N,2018-1
Pristimantis ardalonychus,Río Cerranayacu Rain Frog,DD,EN,N,2018-1
Pristimantis avicuporum,,DD,LC,N,2018-1
Pristimantis colodactylus,Piura Robber Frog,VU,LC,N,2018-1
Pristimantis colomai,,EN,VU,N,2018-1
Pristimantis condor,Condor Robber Frog,VU,LC,N,2018-1
Pristimantis katoptroides,,EN,LC,N,2018-1
Pristimantis lirellus,,DD,LC,N,2018-1
Pristimantis nephophilus,Cutín de Rioja,VU,NT,N,2018-1
Pristimantis pataikos,Cutín de Leimebamba,VU,DD,N,2018-1
Pristimantis percnopterus,,NT,LC,N,2018-1
Pristimantis petrobardus,Huambos Robber Frog,DD,EN,N,2018-1
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
Scientific name,Common name,(2017),List (2018),,
,,,,change,version
,,Category,Category,,
Pristimantis pinguis,,DD,EN,N,2018-1
Pristimantis rhabdocnemus,,DD,LC,N,2018-1
Pristimantis rhodostichus,Cutín de Tangarana,VU,LC,N,2018-1
Pristimantis rufioculis,,DD,VU,N,2018-1
Pristimantis scolodiscus,Ricuarte Robber Frog,EN,VU,N,2018-1
Pristimantis serendipitus,Cutín de la cordillera de Colán,VU,EN,N,2018-1
Pristimantis stictogaster,,DD,LC,N,2018-1
Pristimantis tantanti,,DD,LC,N,2018-1
Pristimantis verecundus,Zacualtipan Robber Frog,VU,NT,N,2018-1
Pristimantis versicolor,Loja Robber Frog,VU,LC,N,2018-1
Pristimantis wagteri,,DD,EN,N,2018-1
Psychrophrynella usurpator,,EN,NT,N,2018-1
Ranitomeya fantastica,Fantastic Poison Frog,NT,VU,N,2018-1
Rhacophorus achantharrhena,,DD,LC,N,2018-1
Rhacophorus baluensis,,NT,LC,N,2018-1
Rhacophorus bimaculatus,Mindanao Flying Frog,VU,LC,N,2018-1
Rhacophorus calcaneus,Vietnam Flying Frog,NT,EN,N,2018-1
Rhacophorus rufipes,Malaysian Flying Frog,NT,LC,N,2018-1
Rhaebo colomai,Carchi Andes Toad,CR(PE),EN,N,2018-1
Rhinella arborescandens,,DD,EN,N,2018-1
Rhinella chavin,,CR,EN,N,2018-1
Rhinella lescurei,Guiana Shield Leaf Toad,DD,LC,N,2018-1
Rhinella vellardi,Alto Marañon Toad,DD,EN,N,2018-1
Rhinella yanachaga,,VU,EN,N,2018-1
Rhinoderma darwinii,Darwin's Frog,VU,EN,N,2018-1
Scinax oreites,Balzapata Snouted Treefrog,NT,LC,N,2018-1
Staurois parvus,Bornean Rock Frog,DD,VU,N,2018-1
Staurois tuberilinguis,Borneo Splash Frog,NT,LC,N,2018-1
Sylvirana faber,,LC,VU,N,2018-1
Telmatobius degener,,EN,DD,N,2018-1
Telmatobius hockingi,Hocking's Water Frog,VU,DD,N,2018-1
Telmatobius thompsoni,Thompson's Water Frog,EN,DD,N,2018-1
Truebella tothastes,,DD,EN,N,2018-1
Werneria bambutensis,Bamboutos Smalltongue Toad,EN,CR,G,2018-1
Werneria tandyi,Tandy's Smalltongue Toad,EN,CR,G,2018-1
Xenopus amieti,Volcano Clawed Frog,NT,VU,N,2018-1
Xenopus boumbaensis,Mawa Clawed Frog,DD,NT,N,2018-1
BONY FISHES,,,,,
Chiloglanis emarginatus,Phongolo Suckermouth,LC,VU,N,2018-1
Enteromius amatolicus,Amatola Barb,VU,DD,N,2018-1
Labeo rubromaculatus,Tugela Labeo,LC,VU,N,2018-1
Pseudobarbus asper,Smallscale Redfin,EN,VU,N,2018-1
MOLLUSCS,,,,,
Brephulopsis subulata,,LC,EN,N,2018-1
Craspedopoma hespericum,,LR/cd,LC,N,2018-1
Geomitra grabhami,,CR(PE),CR,N,2018-1
Geomitra watsoni,,DD,EN,N,2018-1
Hystricella echinulata,,LC,EN,G,2018-1
Oxychilus furtadoi,,NT,LC,E,2018-1
Papilloderma altonagai,,LR/nt,VU,N,2018-1
Peristoma merduenianum,,NT,VU,N,2018-1
Peristoma rupestre,,NT,LC,N,2018-1
Rhachistia aldabrae,Aldabra Banded Snail,EX,CR,N,2018-1
Zonitoides jaccetanicus,,EN,DD,N,2018-1
DRAGONFLIES & DAMSELFLIES,,,,,
Aciagrion balachowskyi,Gabon Slim,DD,LC,N,2018-1
Aciagrion nodosum,Cryptic Slim,DD,LC,N,2018-1
Aethiothemis gamblesi,Problematic Flasher,DD,EN,N,2018-1
Africallagma cuneistigma,Chimanimani Bluet,VU,CR,N,2018-1
Africocypha centripunctata,Banded Jewel,VU,EN,N,2018-1
Allocnemis interrupta,Gabon Yellowwing,DD,NT,N,2018-1
Allocnemis mitwabae,Katanga Yellowwing,NT,EN,N,2018-1
Argia pima,Pima Dancer,DD,LC,N,2018-1
Argia sabino,Sabino Dancer,VU,LC,N,2018-1
Ceratogomphus triceraticus,Cape Thorntail,VU,NT,N,2018-1
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
Scientific name,Common name,(2017),List (2018),,
,,,,change,version
,,Category,Category,,
Ceriagrion citrinum,Yellow Waxtail,VU,EN,N,2018-1
Chlorocypha dahli,Orange-nosed Jewel,LC,DD,N,2018-1
Chlorocypha helenae,Sunset Jewel,DD,NT,N,2018-1
Chlorocypha neptunus,Dull Jewel,DD,VU,N,2018-1
Chlorocypha schmidti,Albertine Jewel,VU,EN,N,2018-1
Chlorolestes elegans,Elegant Malachite,VU,NT,N,2018-1
Cordulegaster sayi,Say's Spiketail,VU,LC,N,2018-1
Ecchlorolestes peringueyi,Marbled Malachite,VU,NT,N,2018-1
Enallagma pictum,Scarlet Bluet,NT,LC,N,2018-1
Enallagma recurvatum,Pine Barrens Bluet,NT,LC,N,2018-1
Gomphurus lynnae,Columbia Clubtail,EN,LC,N,2018-1
Hylogomphus geminatus,Twin-striped Clubtail,NT,LC,N,2018-1
Ischnura abyssinica,Ethiopian Bluetail,VU,NT,N,2018-1
Ischnura gemina,San Francisco Forktail,VU,EN,G,2018-1
Leptobasis lucifer,Lucifer Swampdamsel,LC,DD,G,2018-1
Leptobasis melinogaster,Cream-tipped Swampdamsel,DD,VU,N,2018-1
Macromia margarita,Mountain River Cruiser,NT,LC,N,2018-1
Malgassophlebia westfalli,Dark Leaftipper,DD,LC,N,2018-1
Micromacromia flava,Angola Micmac,DD,NT,N,2018-1
Neodythemis fitzgeraldi,Powdered Junglewatcher,DD,LC,N,2018-1
Neodythemis munyaga,Bwindi Junglewatcher,DD,EN,N,2018-1
Neodythemis takamandensis,Bizarre Junglewatcher,CR,LC,N,2018-1
Ophiogomphus australis,Southern Snaketail,EN,NT,N,2018-1
Ophiogomphus edmundo,Edmund's Snaketail,EN,NT,N,2018-1
Ophiogomphus incurvatus,Appalachian Snaketail,NT,LC,N,2018-1
Oreocnemis phoenix,Mulanje Damsel,CR,EN,N,2018-1
Orthetrum sagitta,Arrow Skimmer,DD,LC,N,2018-1
Paragomphus crenigomphoides,Ethiopian Hooktail,DD,NT,N,2018-1
Paragomphus kiautai,Kiauta's Hooktail,DD,LC,N,2018-1
Paragomphus tournieri,Tournier's Hooktail,DD,LC,N,2018-1
Phanogomphus diminutus,Diminutive Clubtail,NT,LC,N,2018-1
Phanogomphus westfalli,Westfall’s Clubtail,VU,NT,N,2018-1
Phyllogomphus schoutedeni,Crowned Leaftail,LC,DD,N,2018-1
Phyllomacromia lamottei,Western Double-spined Cruiser,DD,NT,N,2018-1
Phyllomacromia villiersi,Conbo Double-spined Cruiser,DD,LC,N,2018-1
Pinheyschna waterstoni,Ethiopian Hawker,LC,VU,N,2018-1
Platycypha auripes,Tanzania Jewel,VU,EN,N,2018-1
Platycypha crocea,Angola Jewel,NT,LC,N,2018-1
Progomphus bellei,Belle's Sanddragon,NT,LC,N,2018-1
Proischnura polychromatica,Mauve Bluet,CR,EN,N,2018-1
Pseudagrion angolense,Angola Sprite,DD,NT,N,2018-1
Pseudagrion inopinatum,Badplaas Sprite,EN,NT,N,2018-1
Pseudagrion symoensii,Katanga Sprite,NT,VU,N,2018-1
Pseudagrion vumbaense,Vumba Sprite,VU,EN,N,2018-1
Somatochlora calverti,Calvert's Emerald,NT,DD,N,2018-1
Somatochlora hineana,Hine's Emerald,NT,LC,N,2018-1
Somatochlora margarita,Texas Emerald,VU,DD,N,2018-1
Spesbona angusta,Mauve Bluet,VU,EN,N,2018-1
Stenocypha hasta,Mahale Jewel,VU,EN,N,2018-1
Stenogomphurus consanguis,Cherokee Clubtail,EN,LC,N,2018-1
Stylurus townesi,Townes's Clubtail,VU,LC,N,2018-1
Teinobasis alluaudi,Indian Ocean Fineliner,VU,LC,N,2018-1
Tetrathemis fraseri,Treefall Elf,DD,LC,N,2018-1
Tragogomphus ellioti,Pinhey's Horntail,DD,LC,N,2018-1
Trithemis dubia,,LC,DD,N,2018-1
Trithemis hartwigi,Superb Dropwing,DD,LC,N,2018-1
Trithemis nigra,Principe Dropwing,CR,NT,N,2018-1
Trithemis osvaldae,Sombre Dropwing,DD,LC,N,2018-1
Umma purpurea,Purple Sparklewing,VU,EN,N,2018-1
Urothemis luciana,St Lucia Basker,DD,NT,N,2018-1
Williamsonia lintneri,Ringed Boghaunter,VU,LC,N,2018-1
MOTHS & BUTTERFLIES,,,,,
Ornithoptera chimaera,Chimaera Birdwing,LR/nt,LC,N,2018-1
Ornithoptera croesus,Wallace's Golden Birdwing,EN,NT,N,2018-1
Ornithoptera meridionalis,Southern Tailed Birdwing,EN,NT,N,2018-1
Ornithoptera paradisea,Paradise Birdwing,LR/lc,NT,N,2018-1
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
Scientific name,Common name,(2017),List (2018),,
,,,,change,version
,,Category,Category,,
Ornithoptera rothschildi,Rothschild's Birdwing,VU,NT,N,2018-1
Ornithoptera tithonus,Tithonus Birdwing,DD,LC,N,2018-1
Troides andromache,Borneo Birdwing,LR/nt,VU,N,2018-1
CRABS & CRAYFISHES,,,,,
Potamonautes choloensis,,VU,LC,N,2018-1
Potamonautes montivagus,,VU,LC,N,2018-1
PLANTS,,,,,
Acacia anegadensis,Pokemeboy,CR,EN,N,2018-1
Acer duplicatoserratum,,VU,LC,N,2018-1
Acer undulatum,,LR/nt,CR,N,2018-1
Aeranthes carnosa,,VU,DD,N,2018-1
Allium parciflorum,,DD,LC,N,2018-1
Allium pendulinum,Italian Garlic,DD,LC,N,2018-1
Allium scaberrimum,,DD,VU,N,2018-1
Angraecopsis tridens,,VU,NT,N,2018-1
Angraecum pinifolium,,CR,EN,N,2018-1
Apterosperma oblata,,VU,CR,G,2018-1
Aquilaria malaccensis,Agarwood,VU,CR,G,2018-1
Aquilaria microcarpa,,VU,EN,G,2018-1
Artemisia molinieri,Molinier's Wormwood,VU,EN,N,2018-1
Asteropeia micraster,,EN,VU,N,2018-1
Betula tianschanica,,EN,DD,N,2018-1
Bulbophyllum hamelinii,,NT,VU,N,2018-1
Bulbophyllum jaapii,,VU,CR,G,2018-1
Bulbophyllum lizae,,LC,EN,N,2018-1
Bulbophyllum zaratananae,,CR(PE),EN,N,2018-1
Camellia euphlebia,,VU,EN,N,2018-1
Camellia fleuryi,,VU,EN,N,2018-1
Camellia pleurocarpa,,VU,DD,N,2018-1
Camellia pubipetala,,VU,EN,N,2018-1
Camellia reticulata,,VU,DD,N,2018-1
Carthamus balearicus,Gatosa,VU,NT,G,2018-1
Caryocar costaricense,Plomillo,VU,EN,N,2018-1
Cedrela fissilis,Cedro Misionero,EN,VU,N,2018-1
Cephalanthera cucullata,,EN,VU,N,2018-1
Cinnamomum chemungianum,,EN,CR,N,2018-1
Coffea fadenii,,VU,EN,N,2018-1
Corylus chinensis,Chinese Hazlenut,EN,LC,N,2018-1
Firmiana major,,EW,EN,N,2018-1
Fraxinus sogdiana,,NT,LC,N,2018-1
Gonystylus bancanus,,VU,CR,G,2018-1
Gonystylus macrophyllus,,VU,LC,N,2018-1
Hopea glabrifolia,,DD,NT,N,2018-1
Hopea hainanensis,,CR,EN,N,2018-1
Hopea parviflora,Malabar Ironwood,EN,LC,N,2018-1
Hopea quisumbingiana,,CR,EN,N,2018-1
Hopea ultima,,DD,NT,N,2018-1
Inversodicraea abbayesii,,DD,CR(PE),N,2018-1
Lemurella virescens,,NT,VU,N,2018-1
Leptolaena delphinensis,,CR,VU,N,2018-1
Leptolaena pauciflora,,EN,LC,N,2018-1
Livistona carinensis,Bankoualé Palm,VU,EN,G,2018-1
Lovoa trichilioides,African Walnut,VU,LC,N,2018-1
Machaonia woodburyana,,CR,EN,N,2018-1
Madhuca neriifolia,Illipe Butter Tree,EN,LC,N,2018-1
Manilkara gonavensis,,CR,CR(PE),N,2018-1
Metastelma anegadense,Wire Wist,CR,EN,N,2018-1
Millettia taolanaroensis,,EN,VU,N,2018-1
Nepenthes albomarginata,,LR/cd,LC,N,2018-1
Nepenthes angasanensis,,LR/cd,LC,N,2018-1
Nepenthes bellii,,EN,LC,N,2018-1
Nepenthes bongso,,VU,LC,N,2018-1
Nepenthes densiflora,,LR/cd,LC,N,2018-1
Nepenthes diatas,,LR/cd,LC,N,2018-1
